iter	Passed	Remaining
0	9	9690
1	18	9425
2	27	9286
3	37	9230
4	45	9151
5	55	9137
6	64	9082
7	73	9067
8	82	9067
9	91	9085
10	100	9026
11	109	9012
12	118	8984
13	127	8994
14	137	9012
15	146	9018
16	155	9006
17	164	9001
18	173	8979
19	183	8973
20	192	8969
21	201	8956
22	210	8928
23	218	8896
24	227	8877
25	236	8856
26	245	8829
27	253	8791
28	262	8782
29	270	8750
30	279	8722
31	287	8693
32	295	8663
33	304	8645
34	312	8623
35	321	8599
36	329	8574
37	337	8556
38	346	8534
39	355	8520
40	363	8506
41	372	8492
42	380	8469
43	389	8452
44	398	8447
45	406	8428
46	414	8403
47	422	8380
48	431	8365
49	439	8341
50	447	8324
51	455	8306
52	464	8290
53	472	8274
54	480	8255
55	489	8246
56	498	8244
57	507	8247
58	516	8245
59	527	8260
60	537	8270
61	546	8268
62	555	8265
63	564	8257
64	574	8258
65	583	8254
66	592	8245
67	601	8238
68	610	8230
69	619	8231
70	628	8225
71	637	8218
72	646	8214
73	657	8226
74	666	8224
75	675	8218
76	684	8202
77	692	8188
78	701	8174
79	709	8160
80	718	8147
81	726	8135
82	735	8121
83	743	8105
84	751	8091
85	760	8079
86	768	8069
87	777	8054
88	785	8041
89	793	8027
90	802	8014
91	810	8001
92	818	7985
93	827	7972
94	835	7963
95	844	7950
96	852	7937
97	860	7923
98	869	7912
99	877	7896
100	885	7884
101	894	7871
102	902	7857
103	910	7845
104	919	7836
105	927	7823
106	936	7812
107	945	7807
108	954	7804
109	964	7806
110	973	7798
111	982	7793
112	992	7788
113	1001	7781
114	1011	7780
115	1021	7782
116	1032	7791
117	1045	7812
118	1056	7818
119	1066	7820
120	1079	7838
121	1092	7862
122	1104	7875
123	1115	7879
124	1126	7883
125	1136	7884
126	1148	7891
127	1158	7894
128	1169	7895
129	1179	7894
130	1191	7902
131	1200	7896
132	1209	7885
133	1218	7873
134	1227	7863
135	1235	7850
136	1244	7836
137	1252	7823
138	1260	7810
139	1269	7797
140	1277	7783
141	1286	7770
142	1294	7755
143	1302	7742
144	1311	7730
145	1319	7716
146	1327	7701
147	1335	7688
148	1343	7675
149	1352	7665
150	1361	7653
151	1369	7641
152	1378	7630
153	1386	7618
154	1395	7605
155	1403	7592
156	1411	7581
157	1420	7570
158	1428	7556
159	1437	7546
160	1445	7535
161	1454	7522
162	1462	7511
163	1471	7500
164	1480	7492
165	1489	7481
166	1497	7470
167	1506	7458
168	1515	7450
169	1524	7443
170	1533	7435
171	1542	7427
172	1551	7418
173	1561	7412
174	1570	7404
175	1579	7396
176	1589	7388
177	1597	7376
178	1606	7368
179	1615	7357
180	1623	7345
181	1632	7336
182	1641	7326
183	1649	7314
184	1658	7308
185	1668	7299
186	1676	7289
187	1685	7278
188	1694	7269
189	1703	7260
190	1712	7252
191	1721	7244
192	1729	7232
193	1738	7224
194	1747	7215
195	1756	7205
196	1765	7196
197	1774	7186
198	1783	7177
199	1791	7167
200	1800	7156
201	1808	7145
202	1817	7135
203	1826	7125
204	1834	7114
205	1843	7103
206	1851	7092
207	1859	7082
208	1868	7071
209	1876	7059
210	1884	7048
211	1893	7036
212	1901	7025
213	1909	7015
214	1919	7007
215	1927	6996
216	1935	6985
217	1944	6973
218	1952	6963
219	1960	6951
220	1968	6940
221	1977	6928
